,pd_abac,pd_ataz,pd_dida,pd_efav,pd_emtr,pd_indi,pd_lami,pd_lopi,pd_nelf,pd_nevi,pd_rito,pd_saqu,pd_stav,pd_teno,pd_zido,gender,age,bmi,cd4,vln,bps,bpd,ldl,hdl,trig,bmi_slope,cd4_slope,log_vln_slope,ldl_slope,hdl_slope,d_abac,d_ataz,d_dida,d_efav,d_emtr,d_indi,d_lami,d_lopi,d_nelf,d_nevi,d_rito,d_saqu,d_stav,d_teno,d_zido
pd_teno,,,,,,,,,,,,,,,-0.045,0.001,0.055,0.024,0.066,-0.085,-0.005,-0.003,0.0168,0.024,0.0166,0,0,0,0,0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
pd_zido,,,,,,,,,,,,,,,,0.005,-0.027,0.019,0.124,-0.149,-0.013,-0.024,0.0277,0.0368,0.0307,0,0,0,0,0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
gender,,,,,,,,,,,,,,,,,0.07,-0.04,-0.03,0.01,0.02,0.02,-0.04,-0.08,0.03,0,0,0,0,0,-0.002,-0.005,0.012,-0.001,-0.002,0.007,0.012,0.006,0.012,-0.002,0.008,0.004,0.016,0.001,0.005
age,,,,,,,,,,,,,,,,,,-0.06,-0.05,0.02,0.12,0.06,0.003,0.03,0.016,-0.06,-0.05,0.02,0.003,0.03,0.056,0.031,-0.005,0.034,0.0337,-0.013,-0.021,0.038,-0.0005,0.028,-0.01,-0.014,-0.038,0.055,-0.027
bmi,,,,,,,,,,,,,,,,,,,0.223,-0.18,0.29,0.23,0.125,-0.07,0.105,0,0.2,-0.18,0.125,-0.07,0.006,0.022,0.014,0.026,0.024,0.012,0.032,0.008,0.016,0.028,-0.005,-0.001,0.011,0.024,0.019
cd4,,,,,,,,,,,,,,,,,,,,-0.37,0.14,0.09,0.16,0.099,0.051,0.223,0,-0.37,0.16,0.099,0.0995,0.045,0.052,0.119,0.0528,0.0593,0.175,0.014,0.065,0.086,0.015,0.021,0.091,0.066,0.124
vln,,,,,,,,,,,,,,,,,,,,,-0.13,-0.11,-0.14,-0.14,-0.01,-0.18,-0.37,0,-0.14,-0.14,-0.073,-0.048,-0.057,-0.106,-0.071,-0.077,-0.194,-0.041,-0.088,-0.07,-0.032,-0.044,-0.103,-0.085,-0.149
bps,,,,,,,,,,,,,,,,,,,,,,0.721,0.087,0.069,0.073,0.29,0.14,-0.13,0.087,0.069,0.024,0.0063,0.0085,0.021,-0.013,0.011,0.017,0.0091,0.0041,0.0501,-0.0008,-0.011,0.028,-0.005,-0.013
bpd,,,,,,,,,,,,,,,,,,,,,,,0.077,0.072,0.068,0.23,0.09,-0.11,0.077,0.072,0.013,0.0087,-0.008,0.019,0.0009,0.0127,-0.0053,0.0062,-0.02,0.032,-0.0064,-0.013,0.013,-0.003,-0.024
ldl,,,,,,,,,,,,,,,,,,,,,,,,0.141,-0.19,0.125,0.16,-0.14,0,0.141,0.035,-0.003,0.0413,0.051,0.0164,0.0597,0.0783,0.013,0.077,0.052,0.029,0.0201,0.07,0.0168,0.0277
hdl,,,,,,,,,,,,,,,,,,,,,,,,,-0.204,-0.07,0.099,-0.14,0.141,0,0.029,0.0035,0.0257,0.086,0.0272,-0.0059,0.0543,0.0153,0.0362,0.0863,-0.006,-0.006,0.019,0.024,0.0368
trig,,,,,,,,,,,,,,,,,,,,,,,,,,0.105,0.051,-0.01,-0.19,-0.204,0.027,0.0104,0.0285,0.0264,0.0003,0.0498,0.0604,0.0575,0.0266,0.0271,0.0782,0.0568,0.0596,0.0166,0.0307
bmi_slope,,,,,,,,,,,,,,,,,,,,,,,,,,,0.223,-0.18,0.125,-0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cd4_slope,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.37,0.16,0.099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vln_slope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.14,-0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ldl_slope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hdl_slope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d_abac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1325,0.0196,0.0132,-0.0135,-0.018,0.185,0.139,0.0121,0.087,0.0414,0.0005,0.0439,0.0777,0.111
d_ataz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007,0.0025,0.2437,-0.0227,0.035,0.0004,-0.021,-0.0123,-0.0033,-0.013,-0.015,0.258,0.0009
d_dida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0724,-0.018,0.0279,-0.011,0.0713,0.095,0.0497,0.0698,0.0772,0.1841,0.0355,-0.017
d_efav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.303,-0.04,0.2,-0.002,-0.017,-0.033,0.0009,-0.005,0.08,0.307,0.131
d_emtr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.033,-0.08,0.148,-0.025,0.0185,0.0245,-0.0203,-0.042,0.761,-0.066
d_indi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338,-0.032,-0.045,-0.009,0.0247,-0.027,0.187,-0.0418,0.235
d_lami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.066,0.285,0.169,0.085,0.121,0.3138,-0.0075,0.6536
d_lopi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.029,0.0075,0.162,-0.003,0.029,0.245,0.044
d_nelf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.041,-0.023,0.009,0.262,-0.025,0.168
d_nevi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034,0.03,0.134,0.0505,0.091
d_rito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.317,0.11,0.034,0.048
d_saqu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,-0.018,0.082
d_stav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.031,-0.134
d_teno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.045
d_zido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
